mes,semana,concepto,monto
Diciembre,01–07,Nomina,9415.84
Diciembre,08–14,Nomina,9415.84
Diciembre,15–21,Nomina,9415.84
Diciembre,22–28,Nomina,9415.84
Diciembre,29–31,Nomina,9415.84
Diciembre,15–21,Nomina Alex,6000
Diciembre,29–31,Nomina Alex,6000
Diciembre,01–07,Gas,600
Diciembre,08–14,Gas,600
Diciembre,15–21,Gas,600
Diciembre,22–28,Gas,600
Diciembre,29–31,Gas,600
Diciembre,01–07,Repartidor de pasteles,450
Diciembre,15–21,Repartidor de pasteles,450
Diciembre,22–28,Repartidor de pasteles,450
Diciembre,29–31,Repartidor de pasteles,450
Diciembre,01–07,Panadis,2399.64
Diciembre,08–14,Distribuidora Marti,6030
Diciembre,29–31,Distribuidora Marti,7261
Diciembre,01–07,Elote,340
Diciembre,08–14,Elote,510
Diciembre,15–21,Elote,340
Diciembre,22–28,Elote,340
Diciembre,15–21,BIPACK,1490
Diciembre,22–28,Jekemir,3640
Diciembre,01–07,Bodega Aurrera,1317
Diciembre,08–14,Bodega Aurrera,1583.5
Diciembre,15–21,Bodega Aurrera,562
Diciembre,29–31,Bodega Aurrera,490
Diciembre,01–07,Papeleria y vasos para llevar,158
Diciembre,08–14,Papeleria y vasos para llevar,1191
Diciembre,15–21,Papeleria y vasos para llevar,777
Diciembre,22–28,Papeleria y vasos para llevar,718
Diciembre,01–07,Purificadora Puriglu,185
Diciembre,08–14,Purificadora Puriglu,530
Diciembre,15–21,Purificadora Puriglu,446
Diciembre,15–21,Queso gouda y pechuga de pavo,336
Diciembre,08–14,Cerrajero llave caja,550
Diciembre,08–14,Cafe Yvonne,2700
Diciembre,01–07,Entrada a caja chica,1000
Diciembre,08–14,Costco,4456
Diciembre,01–07,Primer compra listones y etiquetas,720
Diciembre,15–21,Material para envolver pasteles,1230
Diciembre,22–28,Segunda compra de etiquetas,480
Diciembre,01–07,Huevo,803
Diciembre,22–28,Huevo,718
Enero,15–21,Nomina Alex,6000
Enero,29–31,Nomina Alex,6000
Enero,01–07,Nomina,9791.66
Enero,08–14,Nomina,9791.66
Enero,15–21,Nomina,9466
Enero,22–28,Nomina,9766
Enero,29–31,Nomina,9973
Enero,01–07,Gas,600
Enero,08–14,Gas,600
Enero,15–21,Gas,600
Enero,22–28,Gas,600
Enero,29–31,Gas,600
Enero,01–07,Repartidor de pasteles,600
Enero,08–14,Repartidor de pasteles,600
Enero,15–21,Repartidor de pasteles,450
Enero,22–28,Repartidor de pasteles,600
Enero,08–14,Distribuidora Marti,7458
Enero,22–28,Distribuidora Marti,7357
Enero,01–07,Elote,425
Enero,08–14,Elote,340
Enero,15–21,Elote,340
Enero,22–28,Elote,1020
Enero,29–31,Elote,340
Enero,01–07,BIPACK,1518
Enero,01–07,Bodega Aurrera,610.5
Enero,08–14,Bodega Aurrera,1115
Enero,15–21,Bodega Aurrera,1430
Enero,22–28,Bodega Aurrera,1213.5
Enero,29–31,Bodega Aurrera,403
Enero,01–07,Papeleria y vasos para llevar,153
Enero,08–14,Papeleria y vasos para llevar,325
Enero,15–21,Papeleria y vasos para llevar,819
Enero,22–28,Papeleria y vasos para llevar,1349
Enero,29–31,Papeleria y vasos para llevar,99
Enero,01–07,Purificadora Puriglu,87
Enero,08–14,Purificadora Puriglu,29
Enero,15–21,Purificadora Puriglu,29
Enero,22–28,Purificadora Puriglu,58
Enero,01–07,Costco,3141.67
Enero,22–28,Costco,2105.9
Enero,15–21,Chantilly,1030
Enero,01–07,"Compra charolas, bolsas y base para roscas",1100
Enero,01–07,Mercado,617
Enero,08–14,Mercado,216
Enero,15–21,Mercado,70
Enero,22–28,Mercado,444
Enero,01–07,Izzi,988
Enero,29–31,Izzi,1019
Enero,08–14,Bi max ferreteria,378
Enero,08–14,Compra de licuadora TURMIX,2117.17
Enero,01–07,Huevo,701
Enero,08–14,Huevo,684
Febrero,15–21,Nomina Alex,12000
Febrero,01–07,Nomina,9791.66
Febrero,08–14,Nomina,9791.66
Febrero,15–21,Nomina,9466
Febrero,22–28,Nomina,19739
Febrero,01–07,Gas,600
Febrero,08–14,Gas,600
Febrero,15–21,Gas,600
Febrero,22–28,Gas,1200
Febrero,01–07,Repartidor de pasteles,600
Febrero,08–14,Repartidor de pasteles,600
Febrero,15–21,Repartidor de pasteles,450
Febrero,22–28,Repartidor de pasteles,600
Febrero,08–14,Distribuidora Marti,7458
Febrero,22–28,Distribuidora Marti,7357
Febrero,01–07,Elote,425
Febrero,08–14,Elote,340
Febrero,15–21,Elote,340
Febrero,22–28,Elote,1360
Febrero,01–07,BIPACK,1518
Febrero,01–07,Bodega Aurrera,610.5
Febrero,08–14,Bodega Aurrera,1115
Febrero,15–21,Bodega Aurrera,1430
Febrero,22–28,Bodega Aurrera,1613.5
Febrero,01–07,Papeleria y vasos para llevar,153
Febrero,08–14,Papeleria y vasos para llevar,325
Febrero,15–21,Papeleria y vasos para llevar,819
Febrero,22–28,Papeleria y vasos para llevar,1448
Febrero,,,
Febrero,01–07,Purificadora Puriglu,87
Febrero,08–14,Purificadora Puriglu,29
Febrero,15–21,Purificadora Puriglu,29
Febrero,22–28,Purificadora Puriglu,58
Febrero,01–07,Costco,3141.67
Febrero,22–28,Costco,2105.9
Febrero,15–21,Chantilly,1030
Febrero,01–07,"Compra charolas, bolsas y base para roscas",1100
Febrero,01–07,Mercado,617
Febrero,08–14,Mercado,216
Febrero,15–21,Mercado,70
Febrero,22–28,Mercado,444
Febrero,01–07,Izzi,988
Febrero,22–28,Izzi,1019
Febrero,08–14,Bi max ferreteria,378
Febrero,08–14,Compra de licuadora TURMIX,2117.17
Febrero,01–07,Huevo,701
Febrero,08–14,Huevo,684
