Mes,Semana,Dia de la semana,Fecha,Venta Tarjeta,Venta Efectivo,Venta Caldos Leo,Venta Caldos Riesi,Total por dia
Diciembre,1,Lunes,01/12/2025,1010,1010,1350,0,3370
Diciembre,1,Martes,02/12/2025,555,1005,0,0,1560
Diciembre,1,Miercoles,03/12/2025,700,1665,450,450,3265
Diciembre,1,Jueves,04/12/2025,1395,1275,0,0,2670
Diciembre,1,Viernes,05/12/2025,980,1525,1350,900,4755
Diciembre,1,Sabado,06/12/2025,1830,2435,0,0,4265
Diciembre,1,Domingo,07/12/2025,690,880,1350,1350,4270
Diciembre,2,Lunes,08/12/2025,975,995,1800,450,4220
Diciembre,2,Martes,09/12/2025,1595,1895,0,0,3490
Diciembre,2,Miercoles,10/12/2025,1180,550,900,450,3080
Diciembre,2,Jueves,11/12/2025,1090,785,0,0,1875
Diciembre,2,Viernes,12/12/2025,1070,2120,1800,450,5440
Diciembre,2,Sabado,13/12/2025,1020,1030,0,0,2050
Diciembre,2,Domingo,14/12/2025,2353,1985,1800,900,7038
Diciembre,3,Lunes,15/12/2025,2385,1053,900,900,5238
Diciembre,3,Martes,16/12/2025,1155,285,0,0,1440
Diciembre,3,Miercoles,17/12/2025,954,1805,1350,450,4559
Diciembre,3,Jueves,18/12/2025,1425,1740,0,0,3165
Diciembre,3,Viernes,19/12/2025,1845,2070,2250,1350,7515
Diciembre,3,Sabado,20/12/2025,1120,3150,0,0,4270
Diciembre,3,Domingo,21/12/2025,1340,967,1800,900,5007
Diciembre,4,Lunes,22/12/2025,2530,1020,1350,450,5350
Diciembre,4,Martes,23/12/2025,1035,1550,0,0,2585
Diciembre,4,Miercoles,24/12/2025,765,1690,1350,0,3805
Diciembre,4,Jueves,25/12/2025,,,,,
Diciembre,4,Viernes,26/12/2025,290,2090,900,1350,4630
Diciembre,4,Sabado,27/12/2025,1042.5,600,0,0,1642.5
Diciembre,4,Domingo,28/12/2025,370,1765,1800,900,4835
Diciembre,5,Lunes,29/12/2025,1155,1490,1350,900,4895
Diciembre,5,Martes,30/12/2025,895,1335,0,0,2230
Diciembre,5,Miercoles,31/12/2025,2885,4550,450,450,8335
Enero,1,Jueves,01/01/2026,,,,,
Enero,1,Viernes,02/01/2026,1305,820,900,900,3925
Enero,1,Sabado,03/01/2026,830,2005,0,0,2835
Enero,1,Domingo,04/01/2026,825,1040,1800,1800,5465
Enero,1,Lunes,05/01/2026,7183,1020,900,450,9553
Enero,1,Martes,06/01/2026,750,2685,0,0,3435
Enero,1,Miercoles,07/01/2026,1165,275,450,450,2340
Enero,2,Jueves,08/01/2026,340,1335,0,0,1675
Enero,2,Viernes,09/01/2026,1530,1395,900,900,4725
Enero,2,Sabado,10/01/2026,1990,1990,0,0,3980
Enero,2,Domingo,11/01/2026,425,3481,1800,450,6156
Enero,2,Lunes,12/01/2026,475,700,1350,900,3425
Enero,2,Martes,13/01/2026,2320,600,0,0,2920
Enero,2,Miercoles,14/01/2026,1565,1295,900,0,3760
Enero,3,Jueves,15/01/2026,1101,1250,0,0,2351
Enero,3,Viernes,16/01/2026,920,1355,1800,900,4975
Enero,3,Sabado,17/01/2026,2050,2205.5,0,0,4255.5
Enero,3,Domingo,18/01/2026,535,2465,2250,1350,6600
Enero,3,Lunes,19/01/2026,580,1455,450,1350,3835
Enero,3,Martes,20/01/2026,1500,1475,0,0,2975
Enero,3,Miercoles,21/01/2026,1125,1405,900,0,3430
Enero,4,Jueves,22/01/2026,985,3115,0,0,4100
Enero,4,Viernes,23/01/2026,715,3115,1350,1350,6530
Enero,4,Sabado,24/01/2026,2785,1405,0,0,4190
Enero,4,Domingo,25/01/2026,615,1430,1800,1350,5195
Enero,4,Lunes,26/01/2026,1240,1165,1350,900,4655
Enero,4,Martes,27/01/2026,2000,1885,0,0,3885
Enero,4,Miercoles,28/01/2026,2610,1265,900,450,5225
Enero,5,Jueves,29/01/2026,360,980,0,0,1340
Enero,5,Viernes,30/01/2026,1395,1990,1800,1350,6535
Enero,5,Sabado,31/01/2026,3070,1760,0,0,4830
Febrero,1,Domingo,01/02/2026,1429,540,2700,2700,7369
Febrero,1,Lunes,02/02/2026,,,,,
Febrero,1,Martes,03/02/2026,1665,865,0,0,2530
Febrero,1,Miercoles,04/02/2026,0,0,900,1350,2250
